NO,JENJANG,PROGRAM STUDI,STATUS PENDIDIKAN,NAMA PROVINSI,JUMLAH SATUAN PENDIDIKAN,JUMLAH PESERTA,MATA UJI,RERATA NILAI,TAHUN
1380,SMA/MA,KEAGAMAAN,NEGERI,SUMATERA BARAT,45,1518,BAHASA INDONESIA,68.05,2019
1381,SMA/MA,KEAGAMAAN,NEGERI,RIAU,6,184,BAHASA INDONESIA,60.22,2019
1382,SMA/MA,KEAGAMAAN,NEGERI,JAMBI,9,281,BAHASA INDONESIA,60.47,2019
1383,SMA/MA,KEAGAMAAN,NEGERI,SUMATERA SELATAN,6,200,BAHASA INDONESIA,59.67,2019
1384,SMA/MA,KEAGAMAAN,NEGERI,LAMPUNG,4,169,BAHASA INDONESIA,67.46,2019
1385,SMA/MA,KEAGAMAAN,NEGERI,KALIMANTAN BARAT,6,227,BAHASA INDONESIA,66.97,2019
1386,SMA/MA,KEAGAMAAN,NEGERI,KALIMANTAN TENGAH,5,220,BAHASA INDONESIA,65.76,2019
1387,SMA/MA,KEAGAMAAN,NEGERI,KALIMANTAN SELATAN,35,1380,BAHASA INDONESIA,68.21,2019
1388,SMA/MA,KEAGAMAAN,NEGERI,KALIMANTAN TIMUR,4,223,BAHASA INDONESIA,70.04,2019
1389,SMA/MA,KEAGAMAAN,NEGERI,SULAWESI UTARA,3,90,BAHASA INDONESIA,58.33,2019
1390,SMA/MA,KEAGAMAAN,NEGERI,SULAWESI TENGAH,8,267,BAHASA INDONESIA,61.58,2019
1391,SMA/MA,KEAGAMAAN,NEGERI,SULAWESI SELATAN,8,295,BAHASA INDONESIA,63.25,2019
1392,SMA/MA,KEAGAMAAN,NEGERI,SULAWESI TENGGARA,4,83,BAHASA INDONESIA,59.37,2019
1393,SMA/MA,KEAGAMAAN,NEGERI,MALUKU,-,-,BAHASA INDONESIA,-,2019
1394,SMA/MA,KEAGAMAAN,NEGERI,BALI,2,52,BAHASA INDONESIA,68.08,2019
1395,SMA/MA,KEAGAMAAN,NEGERI,NUSA TENGGARA BARAT,14,414,BAHASA INDONESIA,60.58,2019
1396,SMA/MA,KEAGAMAAN,NEGERI,NUSA TENGGARA TIMUR,8,144,BAHASA INDONESIA,58.03,2019
1397,SMA/MA,KEAGAMAAN,NEGERI,PAPUA,-,-,BAHASA INDONESIA,-,2019
1398,SMA/MA,KEAGAMAAN,NEGERI,BENGKULU,2,71,BAHASA INDONESIA,69.38,2019
1399,SMA/MA,KEAGAMAAN,NEGERI,MALUKU UTARA,-,-,BAHASA INDONESIA,-,2019
1400,SMA/MA,KEAGAMAAN,NEGERI,BANGKA BELITUNG,1,67,BAHASA INDONESIA,63.91,2019
1401,SMA/MA,KEAGAMAAN,NEGERI,GORONTALO,4,78,BAHASA INDONESIA,63.62,2019
1402,SMA/MA,KEAGAMAAN,NEGERI,BANTEN,13,516,BAHASA INDONESIA,64.38,2019
1403,SMA/MA,KEAGAMAAN,NEGERI,KEPULAUAN RIAU,2,70,BAHASA INDONESIA,69.83,2019
1404,SMA/MA,KEAGAMAAN,NEGERI,SULAWESI BARAT,4,185,BAHASA INDONESIA,60,2019
1405,SMA/MA,KEAGAMAAN,NEGERI,PAPUA BARAT,2,44,BAHASA INDONESIA,54.09,2019
1406,SMA/MA,KEAGAMAAN,NEGERI,KALIMANTAN UTARA,1,28,BAHASA INDONESIA,59.79,2019
1407,SMA/MA,KEAGAMAAN,NEGERI,DKI JAKARTA,14,537,BAHASA INGGRIS,50.13,2019
1408,SMA/MA,KEAGAMAAN,NEGERI,JAWA BARAT,38,1790,BAHASA INGGRIS,44.76,2019
1409,SMA/MA,KEAGAMAAN,NEGERI,JAWA TENGAH,53,2195,BAHASA INGGRIS,46.69,2019
1410,SMA/MA,KEAGAMAAN,NEGERI,DI YOGYAKARTA,2,41,BAHASA INGGRIS,64.63,2019
1411,SMA/MA,KEAGAMAAN,NEGERI,DI YOGYAKARTA,2,95,BAHASA INGGRIS,48.09,2019
1412,SMA/MA,KEAGAMAAN,NEGERI,DI YOGYAKARTA,2,46,BAHASA INGGRIS,40.35,2019
1413,SMA/MA,KEAGAMAAN,NEGERI,DI YOGYAKARTA,5,155,BAHASA INGGRIS,50.26,2019
1414,SMA/MA,KEAGAMAAN,NEGERI,DI YOGYAKARTA,1,24,BAHASA INGGRIS,48.67,2019
1415,SMA/MA,KEAGAMAAN,NEGERI,JAWA TIMUR,75,3330,BAHASA INGGRIS,45.9,2019
1416,SMA/MA,KEAGAMAAN,NEGERI,ACEH,10,282,BAHASA INGGRIS,41.01,2019
1417,SMA/MA,KEAGAMAAN,NEGERI,SUMATERA UTARA,22,937,BAHASA INGGRIS,42.38,2019
1418,SMA/MA,KEAGAMAAN,NEGERI,SUMATERA BARAT,45,1518,BAHASA INGGRIS,44.64,2019
1419,SMA/MA,KEAGAMAAN,NEGERI,RIAU,6,184,BAHASA INGGRIS,41.84,2019
1420,SMA/MA,KEAGAMAAN,NEGERI,JAMBI,9,281,BAHASA INGGRIS,40.49,2019
1421,SMA/MA,KEAGAMAAN,NEGERI,SUMATERA SELATAN,6,200,BAHASA INGGRIS,40.75,2019
1422,SMA/MA,KEAGAMAAN,NEGERI,LAMPUNG,4,169,BAHASA INGGRIS,46.27,2019
1423,SMA/MA,KEAGAMAAN,NEGERI,KALIMANTAN BARAT,6,227,BAHASA INGGRIS,43.76,2019
1424,SMA/MA,KEAGAMAAN,NEGERI,KALIMANTAN TENGAH,5,220,BAHASA INGGRIS,43.69,2019
1425,SMA/MA,KEAGAMAAN,NEGERI,KALIMANTAN SELATAN,35,1380,BAHASA INGGRIS,43.97,2019
1426,SMA/MA,KEAGAMAAN,NEGERI,KALIMANTAN TIMUR,4,223,BAHASA INGGRIS,47.58,2019
1427,SMA/MA,KEAGAMAAN,NEGERI,SULAWESI UTARA,3,90,BAHASA INGGRIS,42.8,2019
1428,SMA/MA,KEAGAMAAN,NEGERI,SULAWESI TENGAH,8,267,BAHASA INGGRIS,39.07,2019
1429,SMA/MA,KEAGAMAAN,NEGERI,SULAWESI SELATAN,8,295,BAHASA INGGRIS,42.56,2019
1430,SMA/MA,KEAGAMAAN,NEGERI,SULAWESI TENGGARA,4,83,BAHASA INGGRIS,40.53,2019
1431,SMA/MA,KEAGAMAAN,NEGERI,MALUKU,-,-,BAHASA INGGRIS,-,2019
1432,SMA/MA,KEAGAMAAN,NEGERI,BALI,2,52,BAHASA INGGRIS,47.46,2019
1433,SMA/MA,KEAGAMAAN,NEGERI,NUSA TENGGARA BARAT,14,414,BAHASA INGGRIS,40.81,2019
1434,SMA/MA,KEAGAMAAN,NEGERI,NUSA TENGGARA TIMUR,8,144,BAHASA INGGRIS,39.07,2019
1435,SMA/MA,KEAGAMAAN,NEGERI,PAPUA,-,-,BAHASA INGGRIS,-,2019
1436,SMA/MA,KEAGAMAAN,NEGERI,BENGKULU,2,71,BAHASA INGGRIS,46.54,2019
1437,SMA/MA,KEAGAMAAN,NEGERI,MALUKU UTARA,-,-,BAHASA INGGRIS,-,2019
1438,SMA/MA,KEAGAMAAN,NEGERI,BANGKA BELITUNG,1,67,BAHASA INGGRIS,40.63,2019
1439,SMA/MA,KEAGAMAAN,NEGERI,GORONTALO,4,78,BAHASA INGGRIS,41.31,2019
1440,SMA/MA,KEAGAMAAN,NEGERI,BANTEN,13,516,BAHASA INGGRIS,42.81,2019
1441,SMA/MA,KEAGAMAAN,NEGERI,KEPULAUAN RIAU,2,70,BAHASA INGGRIS,48.52,2019
1442,SMA/MA,KEAGAMAAN,NEGERI,SULAWESI BARAT,4,185,BAHASA INGGRIS,37.26,2019
1443,SMA/MA,KEAGAMAAN,NEGERI,PAPUA BARAT,2,44,BAHASA INGGRIS,38.14,2019
1444,SMA/MA,KEAGAMAAN,NEGERI,KALIMANTAN UTARA,1,28,BAHASA INGGRIS,39.21,2019
1445,SMA/MA,KEAGAMAAN,NEGERI,DKI JAKARTA,14,537,MATEMATIKA,36.2,2019
1446,SMA/MA,KEAGAMAAN,NEGERI,JAWA BARAT,38,1790,MATEMATIKA,34.33,2019
1447,SMA/MA,KEAGAMAAN,NEGERI,JAWA TENGAH,53,2195,MATEMATIKA,38.59,2019
1448,SMA/MA,KEAGAMAAN,NEGERI,DI YOGYAKARTA,2,41,MATEMATIKA,46.71,2019
1449,SMA/MA,KEAGAMAAN,NEGERI,DI YOGYAKARTA,2,95,MATEMATIKA,38.21,2019
1450,SMA/MA,KEAGAMAAN,NEGERI,DI YOGYAKARTA,2,46,MATEMATIKA,34.13,2019
1451,SMA/MA,KEAGAMAAN,NEGERI,DI YOGYAKARTA,5,155,MATEMATIKA,39.39,2019
1452,SMA/MA,KEAGAMAAN,NEGERI,DI YOGYAKARTA,1,24,MATEMATIKA,40.83,2019
1453,SMA/MA,KEAGAMAAN,NEGERI,JAWA TIMUR,75,3330,MATEMATIKA,36.33,2019
1454,SMA/MA,KEAGAMAAN,NEGERI,ACEH,10,282,MATEMATIKA,31.29,2019
1455,SMA/MA,KEAGAMAAN,NEGERI,SUMATERA UTARA,22,937,MATEMATIKA,33.47,2019
1456,SMA/MA,KEAGAMAAN,NEGERI,SUMATERA BARAT,45,1518,MATEMATIKA,36.77,2019
1457,SMA/MA,KEAGAMAAN,NEGERI,RIAU,6,184,MATEMATIKA,33.57,2019
1458,SMA/MA,KEAGAMAAN,NEGERI,JAMBI,9,281,MATEMATIKA,33.71,2019
1459,SMA/MA,KEAGAMAAN,NEGERI,SUMATERA SELATAN,6,200,MATEMATIKA,32.55,2019
1460,SMA/MA,KEAGAMAAN,NEGERI,LAMPUNG,4,169,MATEMATIKA,33.28,2019
1461,SMA/MA,KEAGAMAAN,NEGERI,KALIMANTAN BARAT,6,227,MATEMATIKA,33.72,2019
1462,SMA/MA,KEAGAMAAN,NEGERI,KALIMANTAN TENGAH,5,220,MATEMATIKA,32.81,2019
1463,SMA/MA,KEAGAMAAN,NEGERI,KALIMANTAN SELATAN,35,1380,MATEMATIKA,34.43,2019
1464,SMA/MA,KEAGAMAAN,NEGERI,KALIMANTAN TIMUR,4,223,MATEMATIKA,32.17,2019
1465,SMA/MA,KEAGAMAAN,NEGERI,SULAWESI UTARA,3,90,MATEMATIKA,32.28,2019
1466,SMA/MA,KEAGAMAAN,NEGERI,SULAWESI TENGAH,8,267,MATEMATIKA,29.28,2019
1467,SMA/MA,KEAGAMAAN,NEGERI,SULAWESI SELATAN,8,295,MATEMATIKA,31.25,2019
1468,SMA/MA,KEAGAMAAN,NEGERI,SULAWESI TENGGARA,4,83,MATEMATIKA,29.73,2019
1469,SMA/MA,KEAGAMAAN,NEGERI,MALUKU,-,-,MATEMATIKA,-,2019
1470,SMA/MA,KEAGAMAAN,NEGERI,BALI,2,52,MATEMATIKA,36.58,2019
1471,SMA/MA,KEAGAMAAN,NEGERI,NUSA TENGGARA BARAT,14,414,MATEMATIKA,30.89,2019
1472,SMA/MA,KEAGAMAAN,NEGERI,NUSA TENGGARA TIMUR,8,144,MATEMATIKA,30.29,2019
1473,SMA/MA,KEAGAMAAN,NEGERI,PAPUA,-,-,MATEMATIKA,-,2019
1474,SMA/MA,KEAGAMAAN,NEGERI,BENGKULU,2,71,MATEMATIKA,35.99,2019
1475,SMA/MA,KEAGAMAAN,NEGERI,MALUKU UTARA,-,-,MATEMATIKA,-,2019
1476,SMA/MA,KEAGAMAAN,NEGERI,BANGKA BELITUNG,1,67,MATEMATIKA,33.73,2019
1477,SMA/MA,KEAGAMAAN,NEGERI,GORONTALO,4,78,MATEMATIKA,31.32,2019
1478,SMA/MA,KEAGAMAAN,NEGERI,BANTEN,13,516,MATEMATIKA,33.06,2019
1479,SMA/MA,KEAGAMAAN,NEGERI,KEPULAUAN RIAU,2,70,MATEMATIKA,36.36,2019
1480,SMA/MA,KEAGAMAAN,NEGERI,SULAWESI BARAT,4,185,MATEMATIKA,30.61,2019
1481,SMA/MA,KEAGAMAAN,NEGERI,PAPUA BARAT,2,44,MATEMATIKA,28.53,2019
1482,SMA/MA,KEAGAMAAN,NEGERI,KALIMANTAN UTARA,1,28,MATEMATIKA,28.3,2019
1483,SMA/MA,KEAGAMAAN,NEGERI,DKI JAKARTA,14,537,TAFSIR,67.03,2019
1484,SMA/MA,KEAGAMAAN,NEGERI,JAWA BARAT,38,1790,TAFSIR,64.13,2019
1485,SMA/MA,KEAGAMAAN,NEGERI,JAWA TENGAH,53,2195,TAFSIR,67.32,2019
1486,SMA/MA,KEAGAMAAN,NEGERI,DI YOGYAKARTA,2,41,TAFSIR,80.13,2019
1487,SMA/MA,KEAGAMAAN,NEGERI,DI YOGYAKARTA,2,95,TAFSIR,71.88,2019
1488,SMA/MA,KEAGAMAAN,NEGERI,DI YOGYAKARTA,2,46,TAFSIR,61.33,2019
1489,SMA/MA,KEAGAMAAN,NEGERI,DI YOGYAKARTA,5,155,TAFSIR,65.68,2019
1490,SMA/MA,KEAGAMAAN,NEGERI,DI YOGYAKARTA,1,24,TAFSIR,74,2019
1491,SMA/MA,KEAGAMAAN,NEGERI,JAWA TIMUR,75,3330,TAFSIR,63.72,2019
1492,SMA/MA,KEAGAMAAN,NEGERI,ACEH,10,282,TAFSIR,51.9,2019
1493,SMA/MA,KEAGAMAAN,NEGERI,SUMATERA UTARA,22,937,TAFSIR,57.54,2019
1494,SMA/MA,KEAGAMAAN,NEGERI,SUMATERA BARAT,45,1518,TAFSIR,66.5,2019
1495,SMA/MA,KEAGAMAAN,NEGERI,RIAU,6,184,TAFSIR,56.33,2019
1496,SMA/MA,KEAGAMAAN,NEGERI,JAMBI,9,281,TAFSIR,61.81,2019
1497,SMA/MA,KEAGAMAAN,NEGERI,SUMATERA SELATAN,6,200,TAFSIR,55.88,2019
1498,SMA/MA,KEAGAMAAN,NEGERI,LAMPUNG,4,169,TAFSIR,57.77,2019
1499,SMA/MA,KEAGAMAAN,NEGERI,KALIMANTAN BARAT,6,227,TAFSIR,59.11,2019
1500,SMA/MA,KEAGAMAAN,NEGERI,KALIMANTAN TENGAH,5,220,TAFSIR,54.54,2019
1501,SMA/MA,KEAGAMAAN,NEGERI,KALIMANTAN SELATAN,35,1380,TAFSIR,61.73,2019
1502,SMA/MA,KEAGAMAAN,NEGERI,KALIMANTAN TIMUR,4,223,TAFSIR,56.67,2019
1503,SMA/MA,KEAGAMAAN,NEGERI,SULAWESI UTARA,3,90,TAFSIR,52.82,2019
1504,SMA/MA,KEAGAMAAN,NEGERI,SULAWESI TENGAH,8,267,TAFSIR,45.02,2019
1505,SMA/MA,KEAGAMAAN,NEGERI,SULAWESI SELATAN,8,295,TAFSIR,52.5,2019
1506,SMA/MA,KEAGAMAAN,NEGERI,SULAWESI TENGGARA,4,83,TAFSIR,54.4,2019
1507,SMA/MA,KEAGAMAAN,NEGERI,MALUKU,-,-,TAFSIR,-,2019
1508,SMA/MA,KEAGAMAAN,NEGERI,BALI,2,52,TAFSIR,62.3,2019
1509,SMA/MA,KEAGAMAAN,NEGERI,NUSA TENGGARA BARAT,14,414,TAFSIR,52.82,2019
1510,SMA/MA,KEAGAMAAN,NEGERI,NUSA TENGGARA TIMUR,8,144,TAFSIR,45.35,2019
1511,SMA/MA,KEAGAMAAN,NEGERI,PAPUA,-,-,TAFSIR,-,2019
1512,SMA/MA,KEAGAMAAN,NEGERI,BENGKULU,2,71,TAFSIR,70.5,2019
1513,SMA/MA,KEAGAMAAN,NEGERI,MALUKU UTARA,-,-,TAFSIR,-,2019
1514,SMA/MA,KEAGAMAAN,NEGERI,BANGKA BELITUNG,1,67,TAFSIR,43,2019
1515,SMA/MA,KEAGAMAAN,NEGERI,GORONTALO,4,78,TAFSIR,53.76,2019
1516,SMA/MA,KEAGAMAAN,NEGERI,BANTEN,13,516,TAFSIR,60.92,2019
1517,SMA/MA,KEAGAMAAN,NEGERI,KEPULAUAN RIAU,2,70,TAFSIR,70.69,2019
1518,SMA/MA,KEAGAMAAN,NEGERI,SULAWESI BARAT,4,185,TAFSIR,52.18,2019
1519,SMA/MA,KEAGAMAAN,NEGERI,PAPUA BARAT,2,44,TAFSIR,50.75,2019
1520,SMA/MA,KEAGAMAAN,NEGERI,KALIMANTAN UTARA,1,28,TAFSIR,-,2019
1521,SMA/MA,KEAGAMAAN,NEGERI,DKI JAKARTA,14,537,HADIS,74.11,2019
1522,SMA/MA,KEAGAMAAN,NEGERI,JAWA BARAT,38,1790,HADIS,77.92,2019
1523,SMA/MA,KEAGAMAAN,NEGERI,JAWA TENGAH,53,2195,HADIS,80.43,2019
1524,SMA/MA,KEAGAMAAN,NEGERI,DI YOGYAKARTA,2,41,HADIS,86.66,2019
1525,SMA/MA,KEAGAMAAN,NEGERI,DI YOGYAKARTA,2,95,HADIS,81.14,2019
1526,SMA/MA,KEAGAMAAN,NEGERI,DI YOGYAKARTA,2,46,HADIS,67.6,2019
1527,SMA/MA,KEAGAMAAN,NEGERI,DI YOGYAKARTA,5,155,HADIS,74.08,2019
1528,SMA/MA,KEAGAMAAN,NEGERI,DI YOGYAKARTA,1,24,HADIS,86,2019
1529,SMA/MA,KEAGAMAAN,NEGERI,JAWA TIMUR,75,3330,HADIS,77.9,2019
1530,SMA/MA,KEAGAMAAN,NEGERI,ACEH,10,282,HADIS,70.84,2019
1531,SMA/MA,KEAGAMAAN,NEGERI,SUMATERA UTARA,22,937,HADIS,67.84,2019
1532,SMA/MA,KEAGAMAAN,NEGERI,SUMATERA BARAT,45,1518,HADIS,80.21,2019
1533,SMA/MA,KEAGAMAAN,NEGERI,RIAU,6,184,HADIS,68.03,2019
1534,SMA/MA,KEAGAMAAN,NEGERI,JAMBI,9,281,HADIS,66.27,2019
1535,SMA/MA,KEAGAMAAN,NEGERI,SUMATERA SELATAN,6,200,HADIS,60,2019
1536,SMA/MA,KEAGAMAAN,NEGERI,LAMPUNG,4,169,HADIS,74.55,2019
1537,SMA/MA,KEAGAMAAN,NEGERI,KALIMANTAN BARAT,6,227,HADIS,65.22,2019
1538,SMA/MA,KEAGAMAAN,NEGERI,KALIMANTAN TENGAH,5,220,HADIS,73.2,2019
1539,SMA/MA,KEAGAMAAN,NEGERI,KALIMANTAN SELATAN,35,1380,HADIS,74.03,2019
1540,SMA/MA,KEAGAMAAN,NEGERI,KALIMANTAN TIMUR,4,223,HADIS,76.76,2019
1541,SMA/MA,KEAGAMAAN,NEGERI,SULAWESI UTARA,3,90,HADIS,65.14,2019
1542,SMA/MA,KEAGAMAAN,NEGERI,SULAWESI TENGAH,8,267,HADIS,64.26,2019
1543,SMA/MA,KEAGAMAAN,NEGERI,SULAWESI SELATAN,8,295,HADIS,74.57,2019
1544,SMA/MA,KEAGAMAAN,NEGERI,SULAWESI TENGGARA,4,83,HADIS,66.34,2019
1545,SMA/MA,KEAGAMAAN,NEGERI,MALUKU,-,-,HADIS,-,2019
1546,SMA/MA,KEAGAMAAN,NEGERI,BALI,2,52,HADIS,92,2019
1547,SMA/MA,KEAGAMAAN,NEGERI,NUSA TENGGARA BARAT,14,414,HADIS,78.68,2019
1548,SMA/MA,KEAGAMAAN,NEGERI,NUSA TENGGARA TIMUR,8,144,HADIS,67.09,2019
1549,SMA/MA,KEAGAMAAN,NEGERI,PAPUA,-,-,HADIS,-,2019
1550,SMA/MA,KEAGAMAAN,NEGERI,BENGKULU,2,71,HADIS,75.8,2019
1551,SMA/MA,KEAGAMAAN,NEGERI,MALUKU UTARA,-,-,HADIS,-,2019
1552,SMA/MA,KEAGAMAAN,NEGERI,BANGKA BELITUNG,1,67,HADIS,80.91,2019
1553,SMA/MA,KEAGAMAAN,NEGERI,GORONTALO,4,78,HADIS,74.4,2019
1554,SMA/MA,KEAGAMAAN,NEGERI,BANTEN,13,516,HADIS,73.52,2019
1555,SMA/MA,KEAGAMAAN,NEGERI,KEPULAUAN RIAU,2,70,HADIS,60.38,2019
1556,SMA/MA,KEAGAMAAN,NEGERI,SULAWESI BARAT,4,185,HADIS,66.7,2019
1557,SMA/MA,KEAGAMAAN,NEGERI,PAPUA BARAT,2,44,HADIS,51.53,2019
1558,SMA/MA,KEAGAMAAN,NEGERI,KALIMANTAN UTARA,1,28,HADIS,56,2019
1559,SMA/MA,KEAGAMAAN,NEGERI,DKI JAKARTA,14,537,FIKIH,58.38,2019
1560,SMA/MA,KEAGAMAAN,NEGERI,JAWA BARAT,38,1790,FIKIH,57.64,2019
1561,SMA/MA,KEAGAMAAN,NEGERI,JAWA TENGAH,53,2195,FIKIH,59.72,2019
1562,SMA/MA,KEAGAMAAN,NEGERI,DI YOGYAKARTA,2,41,FIKIH,69.28,2019
1563,SMA/MA,KEAGAMAAN,NEGERI,DI YOGYAKARTA,2,95,FIKIH,58.24,2019
1564,SMA/MA,KEAGAMAAN,NEGERI,DI YOGYAKARTA,2,46,FIKIH,68,2019
1565,SMA/MA,KEAGAMAAN,NEGERI,DI YOGYAKARTA,5,155,FIKIH,64.1,2019
1566,SMA/MA,KEAGAMAAN,NEGERI,DI YOGYAKARTA,1,24,FIKIH,72.55,2019
1567,SMA/MA,KEAGAMAAN,NEGERI,JAWA TIMUR,75,3330,FIKIH,59.88,2019
1568,SMA/MA,KEAGAMAAN,NEGERI,ACEH,10,282,FIKIH,49.39,2019
1569,SMA/MA,KEAGAMAAN,NEGERI,SUMATERA UTARA,22,937,FIKIH,51.08,2019
1570,SMA/MA,KEAGAMAAN,NEGERI,SUMATERA BARAT,45,1518,FIKIH,58.43,2019
1571,SMA/MA,KEAGAMAAN,NEGERI,RIAU,6,184,FIKIH,48.19,2019
1572,SMA/MA,KEAGAMAAN,NEGERI,JAMBI,9,281,FIKIH,49.66,2019
1573,SMA/MA,KEAGAMAAN,NEGERI,SUMATERA SELATAN,6,200,FIKIH,45.63,2019
1574,SMA/MA,KEAGAMAAN,NEGERI,LAMPUNG,4,169,FIKIH,56.13,2019
1575,SMA/MA,KEAGAMAAN,NEGERI,KALIMANTAN BARAT,6,227,FIKIH,52.54,2019
1576,SMA/MA,KEAGAMAAN,NEGERI,KALIMANTAN TENGAH,5,220,FIKIH,61.55,2019
1577,SMA/MA,KEAGAMAAN,NEGERI,KALIMANTAN SELATAN,35,1380,FIKIH,56.64,2019
1578,SMA/MA,KEAGAMAAN,NEGERI,KALIMANTAN TIMUR,4,223,FIKIH,60.49,2019
1579,SMA/MA,KEAGAMAAN,NEGERI,SULAWESI UTARA,3,90,FIKIH,47.57,2019
1580,SMA/MA,KEAGAMAAN,NEGERI,SULAWESI TENGAH,8,267,FIKIH,45.04,2019
1581,SMA/MA,KEAGAMAAN,NEGERI,SULAWESI SELATAN,8,295,FIKIH,47.97,2019
1582,SMA/MA,KEAGAMAAN,NEGERI,SULAWESI TENGGARA,4,83,FIKIH,39.14,2019
1583,SMA/MA,KEAGAMAAN,NEGERI,MALUKU,-,-,FIKIH,-,2019
1584,SMA/MA,KEAGAMAAN,NEGERI,BALI,2,52,FIKIH,65.33,2019
1585,SMA/MA,KEAGAMAAN,NEGERI,NUSA TENGGARA BARAT,14,414,FIKIH,48.62,2019
1586,SMA/MA,KEAGAMAAN,NEGERI,NUSA TENGGARA TIMUR,8,144,FIKIH,49.65,2019
1587,SMA/MA,KEAGAMAAN,NEGERI,PAPUA,-,-,FIKIH,-,2019
1588,SMA/MA,KEAGAMAAN,NEGERI,BENGKULU,2,71,FIKIH,53.1,2019
1589,SMA/MA,KEAGAMAAN,NEGERI,MALUKU UTARA,-,-,FIKIH,-,2019
1590,SMA/MA,KEAGAMAAN,NEGERI,BANGKA BELITUNG,1,67,FIKIH,50.91,2019
1591,SMA/MA,KEAGAMAAN,NEGERI,GORONTALO,4,78,FIKIH,53.07,2019
1592,SMA/MA,KEAGAMAAN,NEGERI,BANTEN,13,516,FIKIH,54.32,2019
1593,SMA/MA,KEAGAMAAN,NEGERI,KEPULAUAN RIAU,2,70,FIKIH,72,2019
1594,SMA/MA,KEAGAMAAN,NEGERI,SULAWESI BARAT,4,185,FIKIH,43.64,2019
1595,SMA/MA,KEAGAMAAN,NEGERI,PAPUA BARAT,2,44,FIKIH,43.37,2019
1596,SMA/MA,KEAGAMAAN,NEGERI,KALIMANTAN UTARA,1,28,FIKIH,54.67,2019
1597,SMA/MA,KEAGAMAAN,SWASTA,DKI JAKARTA,7,233,BAHASA INDONESIA,63.96,2019
1598,SMA/MA,KEAGAMAAN,SWASTA,JAWA BARAT,74,2940,BAHASA INDONESIA,65.44,2019
1599,SMA/MA,KEAGAMAAN,SWASTA,JAWA TENGAH,66,3359,BAHASA INDONESIA,70.85,2019
1600,SMA/MA,KEAGAMAAN,SWASTA,DI YOGYAKARTA,2,46,BAHASA INDONESIA,80.56,2019
1601,SMA/MA,KEAGAMAAN,SWASTA,DI YOGYAKARTA,8,484,BAHASA INDONESIA,74.89,2019
1602,SMA/MA,KEAGAMAAN,SWASTA,DI YOGYAKARTA,-,-,BAHASA INDONESIA,-,2019
1603,SMA/MA,KEAGAMAAN,SWASTA,DI YOGYAKARTA,5,216,BAHASA INDONESIA,75.67,2019
1604,SMA/MA,KEAGAMAAN,SWASTA,DI YOGYAKARTA,4,98,BAHASA INDONESIA,77.33,2019
1605,SMA/MA,KEAGAMAAN,SWASTA,JAWA TIMUR,123,4874,BAHASA INDONESIA,62.77,2019
1606,SMA/MA,KEAGAMAAN,SWASTA,ACEH,11,337,BAHASA INDONESIA,60.23,2019
1607,SMA/MA,KEAGAMAAN,SWASTA,SUMATERA UTARA,20,554,BAHASA INDONESIA,56.13,2019
1608,SMA/MA,KEAGAMAAN,SWASTA,SUMATERA BARAT,47,912,BAHASA INDONESIA,67.14,2019
1609,SMA/MA,KEAGAMAAN,SWASTA,RIAU,16,473,BAHASA INDONESIA,60.87,2019
1610,SMA/MA,KEAGAMAAN,SWASTA,JAMBI,17,765,BAHASA INDONESIA,52.65,2019
1611,SMA/MA,KEAGAMAAN,SWASTA,SUMATERA SELATAN,21,792,BAHASA INDONESIA,58.48,2019
1612,SMA/MA,KEAGAMAAN,SWASTA,LAMPUNG,16,521,BAHASA INDONESIA,65.03,2019
1613,SMA/MA,KEAGAMAAN,SWASTA,KALIMANTAN BARAT,9,260,BAHASA INDONESIA,62.28,2019
1614,SMA/MA,KEAGAMAAN,SWASTA,KALIMANTAN TENGAH,5,65,BAHASA INDONESIA,55.32,2019
1615,SMA/MA,KEAGAMAAN,SWASTA,KALIMANTAN SELATAN,22,741,BAHASA INDONESIA,65.81,2019
1616,SMA/MA,KEAGAMAAN,SWASTA,KALIMANTAN TIMUR,2,69,BAHASA INDONESIA,62.52,2019
1617,SMA/MA,KEAGAMAAN,SWASTA,SULAWESI UTARA,2,26,BAHASA INDONESIA,54.69,2019
1618,SMA/MA,KEAGAMAAN,SWASTA,SULAWESI TENGAH,16,276,BAHASA INDONESIA,55.12,2019
1619,SMA/MA,KEAGAMAAN,SWASTA,SULAWESI SELATAN,13,471,BAHASA INDONESIA,62.13,2019
1620,SMA/MA,KEAGAMAAN,SWASTA,SULAWESI TENGGARA,3,60,BAHASA INDONESIA,70.37,2019
1621,SMA/MA,KEAGAMAAN,SWASTA,MALUKU,-,-,BAHASA INDONESIA,-,2019
1622,SMA/MA,KEAGAMAAN,SWASTA,BALI,3,72,BAHASA INDONESIA,66.25,2019
1623,SMA/MA,KEAGAMAAN,SWASTA,NUSA TENGGARA BARAT,51,1366,BAHASA INDONESIA,58.23,2019
1624,SMA/MA,KEAGAMAAN,SWASTA,NUSA TENGGARA TIMUR,3,35,BAHASA INDONESIA,51.54,2019
1625,SMA/MA,KEAGAMAAN,SWASTA,PAPUA,1,4,BAHASA INDONESIA,48.5,2019
1626,SMA/MA,KEAGAMAAN,SWASTA,BENGKULU,1,25,BAHASA INDONESIA,46.08,2019
